"file","gef_id","doc_type","ext","scanned","year_text","year_filename","year_meta","final_year","method"
"gef_4368_Terminal_Evaluation.docx","4368","Terminal_Evaluation","docx","FALSE","2017","NA","2018","2017","text"
"gef_4453_Mid-Term_Review.pdf","4453","Mid-Term_Review","pdf","FALSE","2020","NA","NA","2020","text"
"gef_4568_Terminal_Evaluation.pdf","4568","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_4570_Terminal_Evaluation.docx","4570","Terminal_Evaluation","docx","FALSE","2015","NA","2018","2015","text"
"gef_4645_Mid-Term_Review.pdf","4645","Mid-Term_Review","pdf","FALSE","2019","NA","NA","2019","text"
"gef_4702_Terminal_Evaluation.pdf","4702","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_4785_Terminal_Evaluation.pdf","4785","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_4800_Terminal_Evaluation.pdf","4800","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_4822_Terminal_Evaluation.xls","4822","Terminal_Evaluation","xls","FALSE","NA","NA","2010","","suspect_template_date"
"gef_4873_Mid-Term_Review.zip","4873","Mid-Term_Review","zip","FALSE","NA","NA","NA","NA","none"
"gef_4907_Terminal_Evaluation.xlsx","4907","Terminal_Evaluation","xlsx","FALSE","NA","NA","2010","","suspect_template_date"
"gef_4908_Terminal_Evaluation.pdf","4908","Terminal_Evaluation","pdf","FALSE","2017","NA","NA","2017","text"
"gef_4923_Mid-Term_Review.pdf","4923","Mid-Term_Review","pdf","FALSE","2021","NA","NA","2021","text"
"gef_4952_Terminal_Evaluation.pdf","4952","Terminal_Evaluation","pdf","FALSE","2022","NA","NA","2022","text"
"gef_4960_Terminal_Evaluation.doc","4960","Terminal_Evaluation","doc","FALSE","NA","NA","2019","2019","ole_created"
"gef_4971_Terminal_Evaluation.docx","4971","Terminal_Evaluation","docx","FALSE","2021","NA","2021","2021","text"
"gef_4993_Terminal_Evaluation.pdf","4993","Terminal_Evaluation","pdf","FALSE","2018","NA","NA","2018","text"
"gef_5014_Terminal_Evaluation.pdf","5014","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5021_Terminal_Evaluation.xls","5021","Terminal_Evaluation","xls","FALSE","NA","NA","2008","","suspect_template_date"
"gef_5071_Terminal_Evaluation.pdf","5071","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_5083_Terminal_Evaluation.pdf","5083","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text_deep"
"gef_5124_Terminal_Evaluation.pdf","5124","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_5154_Terminal_Evaluation.pdf","5154","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_5187_Terminal_Evaluation.pdf","5187","Terminal_Evaluation","pdf","FALSE","2019","NA","NA","2019","text"
"gef_5190_Mid-Term_Review.docx","5190","Mid-Term_Review","docx","FALSE","2021","NA","2021","2021","text"
"gef_5204_Terminal_Evaluation.pdf","5204","Terminal_Evaluation","pdf","FALSE","2020","NA","NA","2020","text"
"gef_5209_Terminal_Evaluation.docx","5209","Terminal_Evaluation","docx","FALSE","2022","NA","2023","2022","text"
"gef_5220_Evaluation.pdf","5220","Evaluation","pdf","FALSE","2019","NA","NA","2019","text"
"gef_5221_Terminal_Evaluation.xls","5221","Terminal_Evaluation","xls","FALSE","NA","NA","2010","","suspect_template_date"
"gef_5225_Project_Implementation_Report.pdf","5225","Project_Implementation_Report","pdf","FALSE","2018","NA","NA","2018","text"
"gef_5232_Terminal_Evaluation.docx","5232","Terminal_Evaluation","docx","FALSE","NA","NA","2024","2024","ooxml_created"
"gef_5233_Terminal_Evaluation.pdf","5233","Terminal_Evaluation","pdf","FALSE","2023","NA","NA","2023","text"
"gef_5252_Terminal_Evaluation.pdf","5252","Terminal_Evaluation","pdf","FALSE","2021","NA","NA","2021","text"
"gef_5270_Project_Implementation_Report.pdf","5270","Project_Implementation_Report","pdf","FALSE","2019","NA","NA","2019","text"
