id,title,pdf_url,doc_date,doc_type,country,project_id,web_url,status
independent-evaluation-climate-investment-fund,Independent Evaluation of the Climate Investment Fund,https://www.cif.org/sites/cif_enc/files/meeting-documents/independent_evaluation_of_the_climate_investment_fund_0.pdf,,Independent evaluation,,,https://www.cif.org/documents/independent-evaluation-climate-investment-fund,kept_global
action-plan-response-independent-evaluation-cif,Action Plan in Response to the Independent Evaluation of the CIF,https://www.cif.org/sites/cif_enc/files/meeting-documents/ctf_scf_tfc_12_9_action_plan_in_response_to_recommendations_from_the_independent_evaluation_of_the_cif_0.pdf,,Independent evaluation,,,https://www.cif.org/documents/action-plan-response-independent-evaluation-cif,kept_global
draft-response-independent-evaluation-climate-investment-funds,Draft Response to the Independent Evaluation of the Climate Investment Funds,https://www.cif.org/sites/cif_enc/files/meeting-documents/ctf_scf_tfc_12_8_draft_response_to_the_independent_evaluation_of_the_cif__0.pdf,,Independent evaluation,,,https://www.cif.org/documents/draft-response-independent-evaluation-climate-investment-funds,kept_global
independent-evaluation-climate-investment-funds-annexes,Independent Evaluation of the Climate Investment Funds: Annexes,https://www.cif.org/sites/cif_enc/files/meeting-documents/ctf_scf_12_3_annex_independent_evaluation_of_the_cif_annexes_0.pdf,,Independent evaluation,,,https://www.cif.org/documents/independent-evaluation-climate-investment-funds-annexes,kept_global
independent-evaluation-climate-investment-funds-0,Independent Evaluation of the Climate Investment Funds,https://www.cif.org/sites/cif_enc/files/meeting-documents/ctf_scf_tfc_12_3_independent_evaluation_of_the_cif_0.pdf,,Independent evaluation,,,https://www.cif.org/documents/independent-evaluation-climate-investment-funds-0,kept_global
concept-evaluation-criteria-srep-set-aside,Concept Evaluation Criteria for SREP Set Aside,https://www.cif.org/sites/cif_enc/files/meeting-documents/concept_evaluation_criteria_for_srep_set_aside_0.pdf,,Evaluation,,,https://www.cif.org/documents/concept-evaluation-criteria-srep-set-aside,kept_global
proposal-modalities-and-incentives-include-broad-range-evaluative-approaches-cif-0,Proposal for Modalities and Incentives to include a Broad Range of Evaluative Approaches in the CIF,https://www.cif.org/sites/cif_enc/files/meeting-documents/proposal_for_modalities_and_incentives_to_include_a_broad_range_of_evaluative_approaches_in_the_cif_october_2013.pdf,2013,Evaluation,,,https://www.cif.org/documents/proposal-modalities-and-incentives-include-broad-range-evaluative-approaches-cif-0,parked_old
reporting-independent-evaluation,Reporting from the Independent Evaluation,https://www.cif.org/sites/cif_enc/files/meeting-documents/ctf_scf_tfc.11_3_reporting_from_the_independent_evaluation.pdf,,Independent evaluation,,,https://www.cif.org/documents/reporting-independent-evaluation,kept_global
interim-evaluation-report-comments-cif-administrative-unit-and-mdbs,Interim Evaluation Report: Comments from the CIF Administrative Unit and the MDBs,https://www.cif.org/sites/cif_enc/files/meeting-documents/ctf_scf_tfc.11_inf.7_interim_evaluation_report_comments_from_the_cif_administrative_unit_and_the_mdbs.pdf,,Evaluation,,,https://www.cif.org/documents/interim-evaluation-report-comments-cif-administrative-unit-and-mdbs,kept_global
monitoring-and-reporting-evaluation-and-learning-pilot-program-climate-resilience,Monitoring and Reporting: Evaluation and Learning in the Pilot Program for Climate Resilience,https://www.cif.org/sites/cif_enc/files/meeting-documents/aea_me_for_adaptation_oct_19_2013.pdf,2013,Evaluation,,,https://www.cif.org/documents/monitoring-and-reporting-evaluation-and-learning-pilot-program-climate-resilience,parked_old
