id,key,title,doc_date,doc_type,country,project_id,screen_status,already_have,topics,pdf_url,web_url,report_name,report_no
31945401,P123204,Uganda - Water Management and Development Project,2020-02-12T05:00:00Z,Implementation Completion and Results Report,Uganda,UG-Water Management and Development Project -- P123204,in_scope,TRUE,"Environment,Health, Nutrition and Population,Science and Technology Development,Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/402071586542243193/pdf/Uganda-Water-Management-and-Development-Project.pdf,http://documents.worldbank.org/curated/en/402071586542243193,Uganda - Water Management and Development Project,ICR4742
32544645,P123399,Niger - Safety Net Project,2020-10-28T04:00:00Z,Implementation Completion and Results Report,Niger,NE-Niger Safety Net Project -- P123399,to_screen,FALSE,"Conflict and Development,Macroeconomics and Economic Growth,Poverty Reduction,Social Development,Social Protections and Labor,Urban Development",http://documents.worldbank.org/curated/en/434781604338900541/pdf/Niger-Safety-Net-Project.pdf,http://documents.worldbank.org/curated/en/434781604338900541,Niger - Safety Net Project,ICR5304
30258344,P123503,Mali - Emergency Education For All Project,2018-06-29T04:00:00Z,Implementation Completion and Results Report,Mali,ML-Mali Emergency Education For All Project -- P123503,to_screen,FALSE,"Education,Poverty Reduction",http://documents.worldbank.org/curated/en/535081531497182969/pdf/ICR00004473-07092018.pdf,http://documents.worldbank.org/curated/en/535081531497182969,Mali - Emergency Education For All Project,ICR4473
33973960,P123531,Ethiopia - Health Sustainable Development Goals Program-for-Results,2022-12-23T05:00:00Z,Implementation Completion and Results Report,Ethiopia,ET-Health Sustainable Development Goals Program-for-Results -- P123531,to_screen,FALSE,NA,http://documents.worldbank.org/curated/en/099620001062330072/pdf/BOSIB000912ba30d80aa3a076cc4128de5a.pdf,http://documents.worldbank.org/curated/en/099620001062330072,NA,ICR5696
31480437,P123673,Senegal - Tertiary Education Governance and Financing For Results Project,2019-09-30T04:00:00Z,Implementation Completion and Results Report,Senegal,SN-SENEGAL Tertiary Education Governance and Financing For Results -- P123673,to_screen,FALSE,"Education,Gender,Transport",http://documents.worldbank.org/curated/en/557871571171037705/pdf/Senegal-Tertiary-Education-Governance-and-Financing-For-Results-Project.pdf,http://documents.worldbank.org/curated/en/557871571171037705,Senegal - Tertiary Education Governance and Financing For Results Project,ICR3315
31933334,P123900,Guinea - Productive Social Safety Net Project,2020-03-30T04:00:00Z,Implementation Completion and Results Report,Guinea,GN-Productive Social Safety Net Project -- P123900,to_screen,FALSE,"Education,Health, Nutrition and Population,Macroeconomics and Economic Growth,Poverty Reduction,Social Protections and Labor",http://documents.worldbank.org/curated/en/953021586197890676/pdf/Guinea-Productive-Social-Safety-Net-Project.pdf,http://documents.worldbank.org/curated/en/953021586197890676,Guinea - Productive Social Safety Net Project,ICR4981
29722926,P123922,Togo - Integrated Disaster and Land Management Project,2018-03-09T05:00:00Z,Implementation Completion and Results Report,Togo,TG-Integrated Disaster and Land Management Project -- P123922,to_screen,FALSE,"Environment,Health, Nutrition and Population,Science and Technology Development,Water Resources",http://documents.worldbank.org/curated/en/385311521122425759/pdf/Togo-IDLM-ICR-Final-March-9-2018-03122018.pdf,http://documents.worldbank.org/curated/en/385311521122425759,Togo - Integrated Disaster and Land Management Project,ICR4297
33691943,P124018,Senegal - Sustainable and Inclusive Agribusiness Development Project,2021-12-17T05:00:00Z,Implementation Completion and Results Report,Senegal,SN-SENEGAL - Sustainable and Inclusive Agribusiness Development Project -- P124018,in_scope,TRUE,"Agriculture,Industry,Macroeconomics and Economic Growth,Rural Development,Water Resources",http://documents.worldbank.org/curated/en/325751640308574225/pdf/Senegal-Sustainable-and-Inclusive-Agribusiness-Development-Project.pdf,http://documents.worldbank.org/curated/en/325751640308574225,Senegal - Sustainable and Inclusive Agribusiness Development Project,ICR5713
32159865,P124045,Tanzania - Productive Social Safety Net,2020-06-01T04:00:00Z,Implementation Completion and Results Report,World,TZ-Tanzania Productive Social Safety Net -- P124045,to_screen,FALSE,"Education,Macroeconomics and Economic Growth,Poverty Reduction,Rural Development,Social Protections and Labor",http://documents.worldbank.org/curated/en/522291592858117735/pdf/Tanzania-Productive-Social-Safety-Net.pdf,http://documents.worldbank.org/curated/en/522291592858117735,Tanzania - Productive Social Safety Net,ICR5010
33983786,P124085,Congo - Forest and Economic Diversification Project,2022-12-21T05:00:00Z,Implementation Completion and Results Report,"Congo, Republic of",CG-Congo: Forest and Econ. Diversification Project -- P124085,to_screen,TRUE,NA,https://documents.worldbank.org/curated/en/099510101192384075/pdf/BOSIB-39d438ea-49bd-4d76-8307-b0d91f4a07e3.pdf,http://documents.worldbank.org/curated/en/099510101192384075,NA,ICR6078
32808448,P124109,Kenya - Transport Sector Support Project,2021-01-29T05:00:00Z,Implementation Completion and Results Report,Kenya,KE-Kenya Transport Sector Support Project -- P124109,to_screen,FALSE,Transport,http://documents.worldbank.org/curated/en/248901612479578618/pdf/Kenya-Transport-Sector-Support-Project.pdf,http://documents.worldbank.org/curated/en/248901612479578618,Kenya - Transport Sector Support Project,ICR5367
30727766,P124351,Zambia - Kafue-Muzuma-Victoria Falls Regional Transmission Line Reinforcement Project,2018-12-10T05:00:00Z,Implementation Completion and Results Report,Africa,3A-Kafue-Muzuma-Victoria Falls Regional Transmission Line Reinforcement Project -- P124351,to_screen,FALSE,"Energy,International Economics and Trade,Poverty Reduction",http://documents.worldbank.org/curated/en/389581545939779039/pdf/implementation-completion-and-results-report-icr-document-final-12202018-636811128987063437.pdf,http://documents.worldbank.org/curated/en/389581545939779039,Zambia - Kafue-Muzuma-Victoria Falls Regional Transmission Line Reinforcement Project,ICR4454
32219964,P124625,Zimbabwe - Hwange-Sanyati Biological Corridor Project,2020-06-30T04:00:00Z,Implementation Completion and Results Report,Zimbabwe,ZW-Hwange-Sanyati Biological Corridor Project -- P124625,to_screen,FALSE,"Energy,Environment,Rural Development,Water Resources",http://documents.worldbank.org/curated/en/116251594163564949/pdf/Zimbabwe-Hwange-Sanyati-Biological-Corridor-Project.pdf,http://documents.worldbank.org/curated/en/116251594163564949,Zimbabwe - Hwange-Sanyati Biological Corridor Project,ICR5235
